2024-04-10 20:49:11,963 INFO  org.apache.flink.kubernetes.taskmanager.KubernetesTaskExecutorRunner [] - --------------------------------------------------------------------------------
2024-04-10 20:49:11,965 INFO  org.apache.flink.kubernetes.taskmanager.KubernetesTaskExecutorRunner [] -  Starting Kubernetes TaskExecutor runner (Version: 1.16.3, Scala: 2.12, Rev:5df8156, Date:2023-11-10T11:00:33+01:00)
2024-04-10 20:49:11,965 INFO  org.apache.flink.kubernetes.taskmanager.KubernetesTaskExecutorRunner [] -  OS current user: java
2024-04-10 20:49:12,367 WARN  org.apache.hadoop.util.NativeCodeLoader                      [] - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2024-04-10 20:49:12,460 INFO  org.apache.flink.kubernetes.taskmanager.KubernetesTaskExecutorRunner [] -  Current Hadoop/Kerberos user: java
2024-04-10 20:49:12,460 INFO  org.apache.flink.kubernetes.taskmanager.KubernetesTaskExecutorRunner [] -  JVM: OpenJDK 64-Bit Server VM - Eclipse Adoptium - 11/11.0.22+7
2024-04-10 20:49:12,460 INFO  org.apache.flink.kubernetes.taskmanager.KubernetesTaskExecutorRunner [] -  Arch: amd64
2024-04-10 20:49:12,460 INFO  org.apache.flink.kubernetes.taskmanager.KubernetesTaskExecutorRunner [] -  Maximum heap size: 317 MiBytes
2024-04-10 20:49:12,461 INFO  org.apache.flink.kubernetes.taskmanager.KubernetesTaskExecutorRunner [] -  JAVA_HOME: /opt/java/openjdk
2024-04-10 20:49:12,464 INFO  org.apache.flink.kubernetes.taskmanager.KubernetesTaskExecutorRunner [] -  Hadoop version: 3.3.6
2024-04-10 20:49:12,464 INFO  org.apache.flink.kubernetes.taskmanager.KubernetesTaskExecutorRunner [] -  JVM Options:
2024-04-10 20:49:12,464 INFO  org.apache.flink.kubernetes.taskmanager.KubernetesTaskExecutorRunner [] -     -Xmx342255206
2024-04-10 20:49:12,464 INFO  org.apache.flink.kubernetes.taskmanager.KubernetesTaskExecutorRunner [] -     -Xms342255206
2024-04-10 20:49:12,464 INFO  org.apache.flink.kubernetes.taskmanager.KubernetesTaskExecutorRunner [] -     -XX:MaxDirectMemorySize=201326592
2024-04-10 20:49:12,464 INFO  org.apache.flink.kubernetes.taskmanager.KubernetesTaskExecutorRunner [] -     -XX:MaxMetaspaceSize=268435456
